year;french_prop
2010;22,4699
2010,17;18,253
2010,33;25,7229
2010,5;20,5422
2010,68;20,6024
2010,75;25
2010,92;30,4819
2011;28,4337
2011,09;26,8675
2011,25;31,6265
2011,33;29,6386
2011,43;33,7952
2011,5;32,6506
2011,58;32,9518
2011,67;34,6386
2011,76;34,0361
2011,92;35
2012;34,9398
2012,09;33,4337
2012,17;38,3735
2012,25;35
2012,5;23,6747
2012,58;20,9036
2012,75;20,1807
2012,83;20,7831
2013;13,9759
2013,09;14,1566
2013,16;23,253
2013,25;22,8916
2013,33;22,8916
2013,51;17,5904
2013,66;14,1566
2013,75;13,7952
2013,82;14,6988
2014,02;15,241
2014,08;16,3253
2014,12;17,7711
2014,16;19,5783
2014,25;17,7108
2014,32;18,253
2014,4;16,2651
2014,49;13,9759
2014,54;16,3253
2014,58;18,253
2014,65;20,1205
2014,75;21,8675
2014,84;21,506
2014,91;18,9759
2014,98;12,2289
2015,07;12,2289
2015,26;15,241
2015,34;14,5181
2015,52;15,4819
2015,65;18,1325
2015,75;18,7349
2015,91;20,6627
2016;18,012
2016,25;22,2892
2016,33;22,3494
2016,51;19,6988
2016,75;21,3253
2017,01;26,3855
2017,07;26,8072
2017,23;32,4096
2017,34;29,1566
2017,43;28,3735
2017,5;29,2169
2017,67;31,1446
2017,74;34,6988
2017,82;34,8193
2017,93;32,9518
